category_id	category_title	category_description	lesson_id	lesson_title	lesson_description	question_id	question_type	prompt	option_a	option_b	option_c	option_d	option_e	option_f	option_g	option_h	answer	accepted_answers	explanation						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-1	英コミュ1.1 / P.10-11 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-1-q01	multiple-choice	本文の中心内容として最も合うものを選びなさい。	アニメの作り方について説明している。	アニメに関係する場所を訪れるファンについて説明している。	日本の高校生活の問題について説明している。	世界中の映画館について説明している。					アニメに関係する場所を訪れるファンについて説明している。	アニメに関係する場所を訪れるファンについて説明している。	本文は anime pilgrimage と、物語に関係する場所を訪れるファンについて説明しています。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-1	英コミュ1.1 / P.10-11 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-1-q02	multiple-choice	本文の内容に合うものを選びなさい: Lucky Star は最初どこで発表されましたか。	漫画の単行本で	コミックブックで	小説で	雑誌で	新聞で	テレビ番組で	映画館で	ウェブサイトで	雑誌で	雑誌で	Lucky Star は最初、雑誌で発表されました。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-1	英コミュ1.1 / P.10-11 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-1-q03	multiple-choice	pilgrimage の実際の例として最も合うものを選びなさい。	修学旅行	東京タワー見学	富士山登山	四国八十八ヶ所巡り	渋谷スクランブル交差点の観光	遊園地への遠足	デパートでの買い物	映画館での映画鑑賞	四国八十八ヶ所巡り	四国八十八ヶ所巡り	四国八十八ヶ所巡りは、宗教的な場所をめぐる pilgrimage の例です。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-1	英コミュ1.1 / P.10-11 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-1-q04	multiple-choice	When was the TV anime version of Lucky Star broadcast?	2003年	2006年	2007年	2011年					2007年	2007年	Lucky Star のテレビアニメは2007年に放送されました。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-1	英コミュ1.1 / P.10-11 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-1-q05	multiple-choice	本文の内容に合うものを選びなさい: The Melancholy of Haruhi Suzumiya について本文が述べていることはどれですか。	2006年に人気のテレビアニメだった。	Lucky Star の続編として作られた。	2003年に初めて雑誌に出た。	神社を舞台にした短い映画だった。					2006年に人気のテレビアニメだった。	2006年に人気のテレビアニメだった。	本文では、2006年の人気テレビアニメの一つとして説明されています。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-1	英コミュ1.1 / P.10-11 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-1-q06	multiple-choice	本文の内容に合うものを選びなさい: ファンはどのような場所を訪れることがありますか。	物語の舞台になった場所	アニメを作る工場だけ	テレビ局の中だけ	海外の有名な空港だけ					物語の舞台になった場所	物語の舞台になった場所	anime pilgrimage では、ファンが物語の舞台になった場所を訪れます。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-1	英コミュ1.1 / P.10-11 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-1-q07	multiple-choice	下線部の意味として最も近いものを選びなさい: broadcast	放送された	出版された	翻訳された	撮影された	販売された	案内された			放送された	放送された	broadcast は 放送する、放送された という意味です。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-1	英コミュ1.1 / P.10-11 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-1-q08	multiple-choice	下線部の意味として最も近いものを選びなさい: is based on	～に基づいている	～を探している	～を禁止している	～を放送している	～を旅行している	～を比較している			～に基づいている	～に基づいている	be based on は ～に基づいている という意味です。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-1	英コミュ1.1 / P.10-11 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-1-q09	multiple-choice	説明に合う英単語を選びなさい: 宗教的・文化的に大切な場所へ旅をする人。	pilgrim	broadcast	magazine	character	location	shrine	tourist	series	pilgrim	pilgrim	pilgrim は 巡礼者 という意味です。						
communication	コミュニケーション英語 / Communication English	Practice Communication English lessons and units.	ec1-1	英コミュ1.1 / P.10-11 Review	Practice vocabulary, reading comprehension, and expressions for the exam.	ec1-1-q10	multiple-choice	日本語に合う英文を選びなさい: 多くのファンが物語に関係する場所を訪れます。	Many fans visit places connected to the story.	Many fans write the story in a magazine.	Many fans broadcast the anime on TV.	Many fans stop watching the story.	Many fans sell photos of the story.	Many fans change the story into a novel.			Many fans visit places connected to the story.	Many fans visit places connected to the story.	visit places connected to the story は 物語に関係する場所を訪れる という意味です。						
